Movie_name,Movie_Genre,Movie_Certification,Release,Runtime,Lead_Actor,Lead_Actress,Movie_Critic_Rating,Movie_User_Rating,Movie_Synopsis,Movie_Full_Cast
Kannum Kannum Kollaiyadithaal,Thriller,U,28 Feb 2020,2 hrs 2 mins,Dulquer Salmaan,Ritu Varma,3.5,4.3,Desingh Periyasamy displays a flair for this material both in his writing and making.,"Dulquer Salmaan, Ritu Varma, Gautham Vasudev Menon, Niranjani Ahathain"
Oh My Kadavule,Comedy,UA,14 Feb 2020,2 hrs 31 mins,Ashok Selvan,Ritika Singh,3.5,3.4,"Despite some conventional turns, Oh My Kadavule is a refreshing romance.","Ashok Selvan, Ritika Singh, Vani Bhojan"
Psycho,Thriller,A,24 Jan 2020,2 hrs 14 mins,Udhayanidhi Stalin,Aditi Rao Hydari,3.5,3.3,First-rate filmmaking combines with perceptive writing to make 'Psycho' a unique experience.,"Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menen"
Dharala Prabhu,Comedy,UA,13 Mar 2020,2 hrs 2 mins,Harish Kalyan,Tanya Hope,3,3.3,A better background score and more effort on the emotional scenes would have made the movie a perfect remake.,"Harish Kalyan, Tanya Hope, Vivek"
Gypsy,Drama,UA,06 Mar 2020,2 hrs 25 mins,Jiiva,Natasha Singh,3,3.2,"Gypsy which talks about the politicisation of religion, is a film that couldn’t have come out at a better time.","Jiiva, Natasha Singh, Lal Jose, Sunny Wayne"
Baaram,Drama,A,21 Feb 2020,1 hr 32 mins,Ajiith,Adhini,3,3.3,"Baaram is more documentary-ish, with the director stripping away the drama in the plot as much as possible.","Adhini, Ajith"
Mafia: Chapter 1,Drama,UA,21 Feb 2020,2 hrs 2 mins,Arun Vijay,Priya Bhavani Shankar,3,3.2,"Mafia would appeal to fans of action movies, especially those which have stylish narcotics backdrop.","Arun Vijay, Prasanna, Priya Bhavani Sankar"
Seeru,Action,UA,07 Feb 2020,2 hrs 4 mins,Jiiva,Riya Suman,3,3.2,The director keeps the narration engaging with hardly any lull.,"Jiiva, Riya Suman, Sathish, Varun, navdeep"
Vaanam Kottattum,Drama,U,07 Feb 2020,2 hrs 18 mins,Vikram Prabhu,Aishwarya Rajesh,3,3.2,"Vaanam Kottatum is what you would get if a relationship drama with an ensemble cast, like Namma Veettu Pillai or Kadaikutty Singam, gets the Mani Ratnam treatment.","Vikram Prabhu, Aishwarya Rajesh, Madonna Sebastian, R. Sarathkumar, Radikaa Sarathkumar"
Darbar,Action,UA,09 Jan 2020,2 hrs 40 mins,Rajinikanth,Nayanthara,3,3.3,A commercial cocktail of action and drama,"Rajinikanth, Nayanthara, Prateik Babbar, Suniel Shetty, Nivetha Thomas, Yogi Babu, Thambi Ramaiah, Jatin Sarna, Nawab Shah, Dalip Tahil"
Penguin,Drama,UA,19 Jun 2020,2 hrs 12 mins,,Keerthy Suresh,2.5,2.8,"A pregnant woman goes in search of her first child, who has been missing for six years.","Keerthy Suresh, Mukhyamantri Chandru, Ragini Chandran, Siri Prahlad"
Velvet Nagaram,Thriller,U,06 Mar 2020,2 hrs 2 mins,,Varalaxmi Sarathkumar,2.5,2.9,The major positive aspect of the film is the realistic performances of all the artistes.,"Varalaxmi Sarathkumar, Prakash Raghavan, Kannan Ponnaiyah, Kasthuri Shankar, Madhan Kumar, Malavika Sundar"
Draupathi,Drama,UA,28 Feb 2020,2 hrs 39 mins,Nishanth,,2.5,2.9,The film isn’t as explosive as its trailer portrayed it to be.,"Nishanth, Richard Rishi, Aaru Bala, Jeeva Ravi, Karunas, Sheela"
God Father,Action,U,21 Feb 2020,2 hrs 2 mins,Natarajan Subramaniam,Ananya,2.5,2.9,"Godfather isn’t exactly a letdown, but it certainly doesn’t live up to the promise of its juicy premise.","Natarajan Subramaniam, Ananya, Lal, Ashwanth Ashokkumar, G. Marimuthu"
Naan Sirithal,Drama,U,14 Feb 2020,2 hrs 19 mins,Hiphop Tamizha,Iswarya Menon,2.5,2.9,Most of the comedy scenes fall flat and you don’t get enough reasons to empathise with the protagonist’s condition.,"Hiphop Tamizha, Iswarya Menon, K.S. Ravikumar, Munishkanth, Badava Gopi"
Naadodigal 2,Drama,UA,31 Jan 2020,2 hrs 16 mins,Sasikumar,Anjali,2.5,2.9,Naadodigal-2 often sacrifices story to drive home its message.,"M. Sasikumar, Anjali, Athulya Ravi, bharani"
Rajavukku Check,Drama,UA,24 Jan 2020,2 hrs 9 mins,Cheran,Srushti Dange,2.5,2.9,A half-decent thriller that fails to live up to the potential of its plot.,"Cheran, Srushti Dange, Nandana Varma, Sarayu"
